d,h/d,b,E,ll,sdl,max_uz
110,2.0,2000,42200,-2.0,0.0,0.105459484592244
100,2.25,2500,42200,-1.4,0.0,0.5254774562829747
110,1.5,2000,24000,-3.0,-1.0,0.0740216958463133
160,2.0,5000,37400,-1.4,0.0,2.2686394901397517
160,1.25,3000,26700,-3.0,-1.25,0.07824573444702755
150,1.75,5000,39600,-4.0,-1.25,1.6994887025908227
240,1.75,1500,24000,-1.4,-1.25,0.008215435133712565
250,1.0,4000,37400,-1.4,-0.25,0.04495918318365824
120,1.75,5000,34800,-1.4,-1.5,2.6440051866037635
160,1.5,1500,26700,-1.4,-1.0,0.009471836931833838
230,2.25,1000,42200,-2.0,-0.25,0.002626499545763333
210,1.5,1500,32800,-3.5,-1.5,0.0044297374086630925
210,1.5,3000,42200,-4.0,-1.25,0.052570989853487834
240,2.25,1000,42200,-3.0,-1.0,0.002472322709484808
230,2.25,4000,30100,-5.0,-1.5,0.9709740783267428
160,2.0,2500,26700,-3.5,-1.25,0.19846912741875675
170,2.25,5000,26700,-1.4,-0.25,4.676463476436012
200,1.5,2500,34800,-4.0,-0.25,0.037742973944905445
220,2.0,4000,32800,-3.0,-0.25,0.5886560728770395
130,1.75,1500,26700,-2.5,-1.5,0.02603121875597329
170,2.0,3500,24000,-3.5,0.0,0.7861149806312053
160,2.25,5000,39600,-3.5,0.0,3.403791491811479
120,1.75,3000,39600,-2.0,0.0,0.2994868394252822
220,1.0,2000,39600,-1.4,-1.25,0.0033513927733217343
210,1.0,4500,24000,-2.5,-1.25,0.1513133320187861
190,1.0,4000,39600,-3.0,0.0,0.07093416779522799
230,1.25,3500,37400,-2.5,-1.0,0.05222347747737424
250,1.0,3500,32800,-5.0,-1.25,0.029954982629665297
250,1.0,5000,30100,-3.5,-0.25,0.1364879486195811
180,2.25,1000,37400,-2.5,-1.0,0.004296618080789278
100,1.5,2500,37400,-4.0,-1.5,0.2376389702847777
140,2.25,4000,42200,-3.0,-1.0,1.7547814449366934
170,2.25,2000,32800,-2.0,-1.25,0.0982064369596359
180,2.0,2500,39600,-3.5,-0.25,0.1148686835968523
170,1.25,3500,39600,-4.0,-1.5,0.09395839624735484
250,1.75,2000,26700,-3.5,-1.5,0.021015222477561758
190,1.0,4500,42200,-2.0,-1.0,0.10650855828106434
220,1.0,3500,42200,-2.5,-1.5,0.02960973643608833
130,2.0,4000,30100,-3.5,-1.25,2.152316420996069
210,1.0,2500,32800,-3.0,-1.0,0.010469200319302348
150,2.25,1500,39600,-3.0,-1.25,0.034911817055546725
230,1.25,2500,32800,-2.5,-1.0,0.014990677451950816
210,1.75,1500,34800,-1.4,0.0,0.006775338403589026
120,2.0,4500,34800,-2.0,-1.0,2.9490176094968548
140,1.25,2000,24000,-1.4,-1.25,0.022853880911603702
150,1.25,4500,32800,-1.4,0.0,0.41437420492622856
240,1.0,1500,42200,-3.5,-1.25,0.000807823614029616
100,1.0,4000,26700,-3.5,-1.0,0.5904050039029393
140,1.25,3000,30100,-5.0,-1.5,0.13814017908170584
120,1.0,4000,30100,-3.0,0.0,0.23572551206411144
230,1.0,5000,32800,-3.5,-0.25,0.15012750010167122
210,1.0,3000,30100,-3.0,0.0,0.02381598227577524
100,1.25,3000,24000,-2.0,0.0,0.24137875443436807
130,2.0,3500,32800,-2.5,-1.5,1.0290350433880855
110,2.0,4000,24000,-5.0,0.0,5.940898211645035
130,2.25,2500,39600,-2.5,0.0,0.38979410835995426
140,1.5,2000,30100,-2.0,-1.5,0.032718220288770444
230,2.0,3500,42200,-3.5,-1.0,0.2527412651157509
210,1.75,2000,34800,-4.0,-1.5,0.021762968740199687
130,1.75,3500,39600,-3.0,-1.0,0.5497105674697313
240,2.0,5000,37400,-3.5,-1.0,1.0456280784488952
250,1.5,1500,37400,-3.0,-0.25,0.00265592134145558
200,2.0,2000,39600,-1.4,-1.5,0.03739564029198336
110,1.25,1000,34800,-1.4,-1.5,0.00166712366876244
230,1.5,1500,32800,-3.5,-1.0,0.003630415003194709
110,1.75,1500,37400,-1.4,-1.25,0.01978488117280269
150,1.5,2000,34800,-2.0,-1.25,0.025884499749197647
180,1.25,2500,32800,-1.4,0.0,0.024485525585117487
190,2.0,4500,34800,-4.0,-0.25,1.1674947787578207
180,1.5,4000,26700,-5.0,-0.25,0.41801806356321464
120,2.0,4000,42200,-5.0,-0.25,2.6024669279931287
160,1.25,4500,24000,-2.0,-1.0,0.43041367452144275
230,1.5,2000,26700,-4.0,-1.25,0.014557391237130905
140,2.0,3500,39600,-2.0,-1.5,0.6824247547163276
170,1.5,1000,30100,-3.5,-1.25,0.0013852856491827887
220,1.25,1500,39600,-3.0,-1.0,0.0017990147836146248
110,1.75,4000,30100,-5.0,-1.0,2.816434002472856
250,1.25,2000,24000,-5.0,-1.0,0.007525325906556005
190,1.0,4000,42200,-4.0,-1.25,0.06656381622398236
150,1.75,5000,30100,-1.4,0.0,2.012284960888705
180,1.25,1000,30100,-4.0,-1.5,0.0006959359744048605
140,2.25,3000,34800,-5.0,0.0,0.9913709922799805
180,1.0,1500,26700,-3.5,-1.5,0.002377927410628215
120,1.75,1000,32800,-2.0,-1.5,0.004946365600000018
150,2.0,3500,32800,-3.0,0.0,0.7535966634435524
220,2.25,1000,37400,-4.0,-1.5,0.00283087604419484
190,1.75,3000,24000,-2.0,-1.0,0.19563171730595355
110,1.5,4000,37400,-2.5,-1.5,0.6537988801681897
170,2.25,1500,24000,-3.0,0.0,0.04396842418632126
150,1.25,2000,24000,-5.0,0.0,0.027871577431772303
160,1.25,4500,42200,-4.0,-0.25,0.29257818042604583
240,2.0,1000,32800,-2.0,-0.25,0.0018947328151939689
220,1.0,1000,30100,-4.0,-0.25,0.00026686630991685936
250,1.25,2000,37400,-3.0,-1.5,0.004829086143281157
200,2.0,3000,37400,-4.0,-1.0,0.20063165396076
220,1.25,3500,24000,-3.0,0.0,0.09299114891054489
230,1.0,3000,24000,-2.5,0.0,0.02652436026694023
130,1.75,2500,24000,-5.0,-0.25,0.33496083581272024
190,2.25,3000,42200,-2.0,-0.25,0.2998042212752616
190,1.5,5000,42200,-2.0,-1.25,0.5031936939869677
140,1.5,1000,39600,-2.5,0.0,0.001508215115236226
250,2.25,3500,30100,-2.5,0.0,0.44824844893497034
240,1.25,5000,42200,-1.4,-1.5,0.1771507648740661
230,1.0,4000,30100,-3.0,-1.5,0.0669571274516193
110,1.5,3500,37400,-5.0,-1.0,0.7569585495342813
180,2.0,1500,24000,-3.5,-1.25,0.024515909693832286
170,1.0,2500,37400,-2.5,-1.25,0.014422668624709308
180,1.5,3500,34800,-2.5,-1.25,0.15483029287931455
130,2.25,1500,42200,-5.0,-0.25,0.06710233686990971
250,1.5,5000,34800,-3.5,-1.5,0.36526473778084567
170,1.5,1000,39600,-5.0,-1.25,0.0012635484254665732
210,1.5,4000,39600,-2.0,-1.0,0.17748871927642207
100,2.0,3500,39600,-1.4,-0.25,1.4044301452239123
