method,PS:PAN ratio,Feed rate(mL/h),Distance(cm),Mass fraction of solute,Mass fraction of SiO2 in solute,Applied voltage(kV),Inner diameter(mm),wca,q,sigma
GSBAG,0.42857142857142855,1.0,0.0,0.35,1.0,0.5714285714285714,0.311,,,
GSBAG,1.0,1.0,0.0,0.35,1.0,1.0,1.0,,,
GSBAG,0.42857142857142855,1.0,0.0,0.35,0.5,1.0,0.311,,,
GSBAG,0.42857142857142855,0.6666666666666666,0.0,0.35,1.0,0.5714285714285714,1.0,,,
GSBAG,1.0,1.0,0.0,0.35,0.5,0.5714285714285714,1.0,,,
GSBAG,1.0,0.6666666666666666,0.0,0.35,1.0,1.0,0.311,,,
GSBAG,1.0,1.0,0.0,0.35,1.0,0.5714285714285714,0.311,,,
GSBAG,0.42857142857142855,1.0,1.0,0.35,1.0,1.0,1.0,,,
GSBAG,1.0,1.0,0.0,1.0,1.0,0.5714285714285714,1.0,,,
GSBAG,0.42857142857142855,1.0,0.0,0.35,0.5,0.5714285714285714,1.0,,,
