method,PS:PAN ratio,Feed rate(mL/h),Distance(cm),Mass fraction of solute,Mass fraction of SiO2 in solute,Applied voltage(kV),Inner diameter(mm),wca,q,sigma
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,0.8928571428571428,0.311,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,0.8928571428571428,0.48325,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,0.8928571428571428,0.6555,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,0.8928571428571428,0.82775,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,0.8928571428571428,1.0,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,1.0,0.311,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,1.0,0.48325,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,1.0,0.6555,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,1.0,0.82775,,,
GaussianProcessBased,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
