method,PS:PAN ratio,Feed rate(mL/h),Distance(cm),Mass fraction of solute,Mass fraction of SiO2 in solute,Applied voltage(kV),Inner diameter(mm),wca,q,sigma
RandomSearch,0.42857142857142855,0.8333333333333333,0.0,0.8375,0.875,0.7857142857142857,1.0,,,
RandomSearch,0.8571428571428571,1.0,0.25,0.8375,0.875,0.6785714285714286,1.0,,,
RandomSearch,0.42857142857142855,0.8333333333333333,0.25,0.35,0.875,1.0,0.48325,,,
RandomSearch,0.8571428571428571,0.75,0.25,1.0,0.5,0.6785714285714286,0.82775,,,
RandomSearch,0.7142857142857142,0.6666666666666666,1.0,1.0,0.625,0.6785714285714286,1.0,,,
RandomSearch,0.7142857142857142,0.6666666666666666,1.0,0.35,0.875,0.5714285714285714,0.6555,,,
RandomSearch,0.8571428571428571,0.8333333333333333,0.5,0.35,1.0,0.6785714285714286,0.311,,,
RandomSearch,0.42857142857142855,0.8333333333333333,0.25,0.8375,1.0,0.6785714285714286,0.6555,,,
RandomSearch,0.5714285714285714,0.6666666666666666,0.0,0.35,1.0,0.7857142857142857,1.0,,,
RandomSearch,1.0,0.75,0.5,0.5125,0.75,1.0,1.0,,,
