,f_res
1696,20.99836208945831
1761,37.772959222703214
14170,38.1678480661407
3978,61.12266758740165
14530,28.787415913902382
4985,14.851107908839662
5118,68.16435072675452
6573,43.2488161803303
4813,51.79688526349823
6997,94.8451829456826
155,16.134783816649048
10389,47.21646218216693
19546,47.00357431089682
5401,14.016914466814729
4482,23.070189919461
1043,26.154620493710095
15484,32.15316497640629
13123,44.400717415375176
5664,26.086552352888646
4299,31.73032352119972
11080,44.627849847376694
16977,42.91162553434675
16214,46.04027182815062
957,11.148492736240177
9456,23.635611547197165
15764,28.303226161870665
16910,58.53508880150435
5236,29.49588971517896
10553,36.2697319537931
15548,24.352309952035352
5736,34.73701830900286
12002,38.80363135068676
11480,14.602498443074733
12442,20.25360745768516
2631,32.07646512881368
4053,45.8735966542847
18834,36.9786368867215
9392,13.993766643045037
5894,35.32354254601314
6842,56.014100207001455
16685,42.992503265104254
15069,52.17252105275343
9923,29.694877111885816
6387,32.2599791072468
14576,36.782382861908225
10836,57.27322370881527
8730,68.56282388437629
5278,18.28873821809476
9594,33.50771463782632
9413,27.801484587877674
10482,37.950049354381605
11371,57.671374016924545
11273,16.06781323796116
8270,33.586903221345075
8249,37.88213903675451
9796,87.01827436808891
10523,102.10869402259534
11320,34.91184909754853
5250,31.426225793276544
3399,43.37096979547494
6228,37.44615701243587
13656,34.232099395158336
5949,21.7289710437471
9242,22.204650361804845
9296,26.8505337190902
8097,69.91271950796936
18415,61.78065486056295
10641,27.743580158479908
9740,25.795323452129843
7394,52.323888550068595
12497,52.65717020501577
12522,53.85182917041909
13478,25.928321710052888
12698,35.398965013118676
8771,35.57679704526534
12030,33.20851416429227
11842,54.22561318233294
8709,22.768274321081076
10863,54.057234585206075
14607,51.83606826332414
4112,54.522137458100445
6428,63.99137677062434
