,x_0,x_1,x_2,y_0,y_1,y_2
1754,1,5,2,2,2,3
1851,1,5,6,2,1,2
3961,2,5,4,3,2,2
12866,6,8,1,1,2,2
14970,7,8,0,1,3,0
7126,4,1,0,2,2,0
2665,1,9,0,1,2,0
5260,3,1,9,1,3,2
4921,2,9,5,1,3,2
10992,5,8,9,3,1,2
2961,2,1,2,2,2,3
5393,3,2,5,1,2,1
6713,3,8,2,3,2,2
17863,9,2,3,2,3,3
18800,9,6,3,3,2,1
18021,9,3,0,1,1,0
2484,1,8,3,1,1,1
9885,5,4,2,2,3,2
1140,1,2,6,3,3,3
15315,7,9,4,3,2,2
11278,6,1,2,2,1,3
10611,5,7,3,2,1,1
16161,8,4,1,2,1,3
2440,1,8,1,1,3,3
19222,9,8,1,2,2,2
83,0,2,0,0,2,0
5965,3,5,0,1,1,0
9247,5,1,3,3,3,1
6442,3,7,1,1,3,1
15480,8,1,1,3,2,1
2202,1,7,1,2,1,2
11912,6,4,0,3,1,0
8529,4,7,2,1,2,3
13876,7,3,3,3,2,2
14789,7,7,2,3,3,2
13586,7,2,1,1,3,2
9839,5,4,0,1,3,0
8974,4,9,2,1,2,1
16898,8,7,3,1,1,2
2260,1,7,3,2,3,2
4399,2,7,3,2,1,3
18289,9,4,2,1,3,1
140,0,2,7,0,1,2
8615,4,7,6,1,1,3
10803,5,8,1,3,3,1
7394,4,2,2,2,2,2
8054,4,5,1,3,1,3
10799,5,8,1,3,1,3
10583,5,7,2,1,3,1
10857,5,8,3,3,3,3
1312,1,3,4,1,1,3
18359,9,4,5,1,1,2
1694,1,4,9,2,3,2
17743,9,1,8,1,3,2
11874,6,3,8,3,1,2
13450,7,1,5,1,2,2
10328,5,6,1,2,2,2
11089,5,9,4,1,1,3
9952,5,4,5,2,1,3
8961,4,9,1,2,3,3
5752,3,4,1,1,2,2
6780,3,8,5,3,1,1
8140,4,5,5,1,3,1
7247,4,1,5,3,1,3
14809,7,7,3,3,1,3
11701,6,3,1,2,1,2
3268,2,2,4,3,2,2
14282,7,5,1,1,3,2
7663,4,3,4,1,3,3
14387,7,5,5,2,3,2
15721,8,2,2,1,1,1
3403,2,3,0,3,3,0
9474,5,2,4,1,1,2
8775,4,8,3,1,1,2
9938,5,4,4,3,2,1
992,1,2,1,2,1,1
13337,7,1,0,1,2,0
9266,5,1,4,2,3,3
13154,6,9,3,1,1,1
10169,5,5,4,2,3,3
6236,3,6,2,2,1,1
11770,6,3,4,1,3,1
11490,6,2,1,3,3,1
8357,4,6,4,3,1,3
11812,6,3,5,3,3,3
3218,2,2,2,3,3,1
435,0,6,4,0,1,3
11583,6,2,5,3,1,1
9686,5,3,3,3,1,3
13600,7,2,1,3,2,3
9405,5,2,1,1,2,1
3460,2,3,3,1,2,1
9182,5,1,1,1,3,3
5609,3,3,4,2,1,3
17919,9,2,5,3,2,1
