,f_res
3856,30.224486331449867
12526,34.66202191159656
14574,32.5438048115152
1802,61.50004385364291
13738,48.8043964617943
2860,8.971543208389512
1918,18.519455423148923
5385,44.023661660520695
3062,75.40580266796448
4861,105.15356869360164
878,18.65675977146085
9754,85.21024005951398
4043,61.162197679612525
6720,74.96882410042191
18755,69.19098711537508
6467,22.9003409983345
3467,31.46257562962702
7527,24.113429287639697
7202,23.502018413106565
8560,45.934063928635794
15029,12.520564641021586
1290,19.411092628958322
11483,28.16569640466928
627,51.74022844943767
12217,59.44411917927626
10949,21.19361940986013
13160,40.03769608756228
6209,46.204194279307586
12838,55.53220843798669
2125,79.60813639949122
3219,50.8941326873737
11150,28.128040777843026
659,40.79401605493139
17415,38.16478928279311
6297,40.14614812158198
4952,27.677922935075888
438,35.5464728383844
7054,35.76831256852915
15104,31.36643404979278
10066,40.05714042464839
6982,19.687740010727488
2942,22.72605719103074
4218,46.12457250750407
8069,40.862955950347015
13315,50.80401238091338
5785,25.528090962702244
16233,21.717274345552667
11019,35.09035670893073
9140,26.463673367278396
9483,34.345411614945014
11667,28.225648823189168
9379,28.22126825357075
12376,36.53264449776391
7636,50.71045941420764
8499,57.214805898473514
7143,15.148898501211235
10028,20.25769229823575
5441,32.87891790251012
11059,35.0687146471039
12068,42.588516527345725
3134,18.60629515970334
15521,18.973607270363747
7421,35.126679593294895
19100,38.52372268161529
13584,49.65395402180979
12980,22.088297308756054
8428,29.52873295622418
11599,28.3947102820226
11035,29.41462257109549
9224,45.84079236880619
1220,8.806216720022281
7109,20.812785052462342
5249,46.48916785660935
13442,26.04709605695038
16205,43.19616124148071
