,x_0,x_1,x_2,y_0,y_1,y_2
3856,2,5,6,2,2,1
12526,6,8,1,1,2,1
14574,7,8,0,1,2,0
1802,1,5,6,1,1,3
13738,7,4,3,3,3,2
2860,2,1,1,1,2,2
1918,1,6,1,2,1,2
5385,3,3,4,1,3,3
3062,2,1,9,2,3,3
4861,2,9,9,2,3,3
878,1,1,6,1,1,1
9754,5,4,9,2,2,2
4043,2,6,4,2,3,3
6720,3,9,3,3,3,3
18755,9,8,3,3,2,3
6467,3,8,3,1,1,1
3467,2,3,9,1,1,1
7527,4,4,1,2,2,1
7202,4,2,5,3,1,1
8560,4,8,7,1,2,1
15029,8,1,0,1,2,0
1290,1,3,3,3,2,1
11483,6,3,6,1,3,1
627,0,8,6,0,3,1
12217,6,6,6,3,2,2
10949,6,1,3,1,2,2
13160,7,1,8,3,1,1
6209,3,7,1,3,3,1
12838,6,9,4,3,2,1
2125,1,6,9,2,2,2
3219,2,2,6,3,3,2
11150,6,2,1,3,3,1
659,0,9,0,0,3,0
17415,9,2,5,2,1,2
6297,3,7,5,3,1,2
4952,3,1,3,3,3,2
438,0,6,3,0,3,1
7054,4,1,8,2,2,1
15104,8,1,3,3,2,1
10066,5,6,3,3,2,1
6982,4,1,5,1,3,1
2942,2,1,4,2,1,2
4218,2,7,2,1,3,2
8069,4,6,5,1,3,1
13315,7,2,5,3,3,2
5785,3,5,3,1,1,2
16233,8,6,3,1,1,1
11019,6,1,6,1,1,2
9140,5,2,2,3,1,2
9483,5,3,7,3,2,1
11667,6,4,4,1,1,2
9379,5,3,3,2,3,1
12376,6,7,4,1,2,1
7636,4,4,5,3,3,2
8499,4,8,4,2,3,1
7143,4,2,3,1,1,1
10028,5,6,2,1,1,1
5441,3,3,7,1,3,1
11059,6,1,7,2,3,1
12068,6,6,0,3,3,0
3134,2,2,3,1,3,1
15521,8,3,2,1,2,1
7421,4,3,6,1,1,2
19100,9,9,8,1,1,1
13584,7,3,7,2,1,2
12980,7,1,1,2,1,2
8428,4,8,1,2,1,2
11599,6,4,1,1,3,2
11035,6,1,6,3,1,1
9224,5,2,6,2,2,2
1220,1,3,0,2,1,0
7109,4,2,1,2,3,2
5249,3,2,7,3,1,2
13442,7,3,1,3,1,1
16205,8,6,1,3,2,2
11129,6,2,1,1,2,1
7977,4,6,1,1,3,1
11300,6,2,8,1,2,2
5919,3,5,8,3,1,2
14529,7,7,8,1,3,1
3009,2,1,7,1,3,2
8090,4,6,6,1,1,2
12101,6,6,2,1,3,1
2530,1,8,6,3,3,1
17489,9,2,8,2,3,2
7987,4,6,1,3,1,1
9876,5,5,5,2,1,1
7655,4,4,6,3,1,2
8448,4,8,2,1,3,1
9926,5,5,7,1,3,2
6977,4,1,5,1,1,2
7794,4,5,3,1,3,1
12651,6,8,6,2,1,1
12801,6,9,3,1,3,2
14428,7,7,3,3,3,2
