x_0,x_1,x_2,y_0,y_1,y_2,f_res
9,3,6,1,1,3,63.5854754641341
9,4,8,3,3,1,59.52358867709507
4,2,2,3,1,3,27.616442154086396
0,6,6,0,1,2,36.51474279260365
2,3,5,1,2,3,50.04040675294317
2,7,7,1,3,3,91.1947375894026
7,8,4,1,1,1,26.75703413478407
6,2,3,2,2,2,28.93929677514642
1,8,9,1,2,3,91.93822083877846
8,7,5,1,3,1,49.50624980747381
6,3,3,1,2,3,32.12150461357625
3,1,2,1,1,2,14.42964234553303
9,7,4,1,2,3,54.825779511102255
4,4,2,3,2,1,0.0
3,2,2,1,1,3,19.036609484884643
9,6,4,3,3,3,77.73949432560003
3,7,7,2,1,3,84.80525786765818
7,1,8,2,1,1,34.514249434110546
9,1,2,2,2,3,32.88917188072695
4,8,4,2,1,3,47.65704266947331
7,4,9,1,1,1,36.86090358686287
6,3,3,3,2,3,43.35440637351641
4,6,0,2,2,0,29.08169004717573
3,2,5,3,3,3,54.33137955178389
3,9,7,1,3,2,90.59347900373405
3,5,7,2,2,2,63.47183106701744
7,1,6,1,1,2,35.67638482245644
7,3,8,1,3,1,43.55199665916593
4,7,0,1,1,0,0.0
4,4,8,3,1,2,60.40177629838381
2,7,5,1,1,3,49.159133383329696
3,7,9,3,1,3,98.83119200940561
2,2,7,3,3,3,77.18157353928463
2,9,5,1,3,2,69.8936544544639
2,4,8,3,3,2,85.18907935293115
1,7,6,1,1,2,38.47282504105983
8,7,1,3,3,3,60.96297007200355
6,6,1,1,3,2,39.11573798357894
7,4,1,2,2,3,30.20420560120726
7,7,9,3,1,2,77.91950252664604
0,7,8,0,1,1,28.024463677472937
5,1,2,2,3,1,38.66113818810822
7,4,2,1,3,3,33.15246803783996
2,5,8,3,3,3,95.39092391836867
6,4,8,1,2,3,90.33139505731106
6,4,7,2,2,2,64.47714578825585
9,4,1,3,3,1,42.00743215194187
5,2,5,1,1,1,18.014249710992683
4,5,6,1,1,1,0.0
8,2,6,1,3,3,63.70569451783725
8,2,1,3,2,2,33.367634528087244
3,3,8,2,1,1,33.10701469477428
3,8,7,1,2,3,87.74485129624416
9,4,8,2,2,1,45.1905242279839
7,2,1,2,2,1,21.515321726620776
5,7,4,1,3,3,65.91113958201602
6,5,6,2,2,3,80.78661731994973
9,1,3,2,3,1,28.583364550031543
1,2,3,1,1,3,25.565980820809518
8,8,5,3,2,2,66.53555120384891
4,6,3,3,1,3,42.29680814198632
1,5,5,1,2,1,27.308795389214808
1,4,2,2,2,1,21.050766543050162
6,2,6,1,1,1,20.752006594544056
1,4,4,1,1,3,35.05073709581583
3,2,4,2,1,2,24.98472098943672
1,5,3,3,1,3,30.873885077197524
7,1,6,2,1,1,25.924610238150155
7,7,6,3,2,2,65.41288666616083
7,2,5,2,3,2,44.919827582037755
2,8,7,2,1,1,34.18045951841491
1,6,5,2,3,1,39.87720372593845
7,6,2,2,1,2,30.634644048854234
8,6,5,2,2,2,51.20836023541469
4,9,1,2,3,3,62.44118644772855
7,7,5,1,1,2,37.33029243121462
6,1,6,2,2,3,67.27298529127424
3,2,4,2,3,2,32.62392231001662
4,6,0,3,3,0,39.292769169403165
1,7,8,2,2,2,76.76499936820166
5,9,8,2,3,1,74.08097175388562
3,6,2,2,3,2,45.704602875421635
1,8,6,2,2,1,40.536979561876585
2,2,3,1,1,3,26.48119751257484
3,8,7,1,2,2,69.23129012231392
2,5,2,2,1,3,26.162597021702567
3,6,4,3,2,2,45.645524008384434
4,7,9,2,2,2,90.54397991031762
9,1,6,2,2,1,29.474129842965677
7,6,7,3,3,2,98.50296841212452
3,9,7,1,1,1,33.206716362206
7,5,2,1,2,1,0.0
3,7,3,1,2,2,39.09527495746769
6,3,3,1,3,3,33.85948472747334
7,9,4,3,3,3,94.34167717928275
5,5,2,3,1,1,27.188974585298357
6,2,3,2,1,1,20.714999096789747
2,9,7,3,1,2,52.46201379093258
0,9,2,0,3,2,49.252356126382416
2,7,4,1,2,2,41.9605336238709
8,6,5,3,2,2,57.89792427194605
9,1,6,2,3,2,59.412641163307995
4,5,5,2,1,1,26.380689566423392
1,1,7,2,2,1,26.57157149699656
5,2,9,3,2,2,82.23903700798058
6,2,9,2,1,2,65.86859231834244
1,5,2,1,3,1,30.449972040217048
7,8,1,2,1,2,32.1437114378536
5,9,6,2,2,1,51.78325661833176
3,4,9,3,2,3,99.17537004720475
6,3,2,1,3,3,27.285239291785587
5,2,5,2,3,3,53.332626796361716
5,9,9,1,2,2,87.17555212328742
9,6,7,3,3,3,106.95102114987029
4,2,0,1,1,0,0.0
3,8,3,2,3,3,65.8044824157139
6,8,3,3,2,3,65.49267383455954
6,2,4,3,1,1,27.020053367822946
8,1,9,1,1,3,80.2662825849061
5,8,6,1,1,2,42.40529136794133
8,2,0,1,3,0,0.0
9,7,6,1,3,1,51.68291686814899
0,4,1,0,3,2,25.17561716423254
4,5,2,1,1,3,25.00459630987871
9,6,8,3,3,2,106.78976167217529
6,3,2,1,3,1,66.47555455955218
2,8,7,2,3,1,59.2770914772309
7,5,3,3,1,2,37.73025911652344
6,7,6,2,1,1,35.577759654031055
2,1,7,2,3,3,68.5183251546621
9,9,5,2,1,1,38.872886553483525
3,9,6,2,2,3,85.91984763720197
0,4,4,0,1,2,24.04792295084962
9,7,5,3,2,1,53.23601540310845
5,9,3,1,2,3,50.76393379162021
6,3,2,1,3,2,25.99348835458604
8,5,2,2,2,2,35.9836499677284
3,6,4,3,2,3,58.34571312444471
7,4,5,2,2,3,61.24211143486155
8,8,0,3,3,0,58.785577219246555
3,5,4,2,3,2,47.84666802401187
5,6,7,1,1,3,81.09350847632626
9,9,4,1,2,3,60.330929024837666
4,3,9,3,3,3,96.40340519400753
2,8,9,2,2,3,98.68267945794743
8,5,6,1,1,3,65.62622927610576
3,5,1,1,3,2,33.29681483265329
9,2,3,1,2,1,19.554931948743775
1,9,4,3,3,1,54.15500111716368
3,9,3,1,3,3,62.63049955093764
