x_0,x_1,x_2,y_0,y_1,y_2,f_res
1,7,8,2,2,1,45.546907622801356
8,3,3,3,3,3,51.01983560341997
7,5,5,1,3,3,66.09162014960746
4,6,0,3,2,0,32.030259084184756
5,9,2,2,1,1,31.411088392476948
1,5,3,1,1,3,29.47575595536101
5,1,9,1,2,3,79.0495657673083
2,6,7,1,1,2,46.519513182749456
0,1,0,0,3,0,5.053278297303643
9,4,8,2,2,1,45.1905242279839
5,1,5,1,3,2,36.01089451207787
9,3,3,2,1,3,38.15540198975763
7,3,9,3,3,3,94.38535798522989
0,5,3,0,1,2,21.57299916770962
1,1,7,3,2,1,0.0
3,6,3,3,1,2,33.142168592293416
6,8,6,3,3,3,107.98286055666426
3,1,2,2,2,2,17.885681508122634
1,1,1,2,2,1,0.0
4,6,1,3,2,1,34.752049565457284
7,8,2,2,2,2,47.92750238641692
5,7,3,2,2,1,39.93289543722067
2,9,6,1,1,3,66.02210833501154
2,2,1,1,1,2,10.936390282446947
7,4,1,3,1,2,29.940757689143407
9,3,3,2,2,3,40.50031006054151
8,1,6,2,3,2,57.27293208837837
1,1,7,1,2,3,65.57373384740265
6,7,8,1,1,2,59.86755812625065
6,8,1,3,3,2,63.478550708093515
2,9,9,2,2,2,86.18983711552075
9,8,1,1,3,2,50.636893141266086
1,1,9,1,1,2,49.62365519276064
1,4,8,2,2,1,0.0
7,8,2,2,3,2,62.387163559501566
7,9,6,1,1,3,69.7395378031716
2,6,8,1,3,3,94.66444148147708
3,9,3,3,1,1,32.22044906577188
4,9,6,3,1,1,41.01205077778969
0,1,2,0,2,3,14.678220362155624
5,7,5,3,2,3,77.01980097351588
2,6,0,1,3,0,31.067592214396015
7,4,4,1,3,1,30.702412934490994
8,6,6,2,3,2,76.5131268018763
1,3,8,2,3,3,82.97028029963501
8,8,6,2,1,1,38.688159803743574
6,2,3,2,2,2,28.93929677514642
2,3,5,3,3,1,27.347563815447987
5,2,3,2,2,3,32.63508109626817
8,3,6,2,3,3,71.02353414186034
