x_0,x_1,x_2,y_0,y_1,y_2,f_res
1,5,3,0,2,2,29.36869006016441
4,7,9,2,1,0,23.92126920232285
4,3,5,0,2,3,48.92969734220721
4,6,9,3,3,3,110.82018509278892
9,6,2,0,1,2,17.403760159804545
9,1,7,2,1,1,31.84953370145315
2,5,9,2,1,3,87.98501496845925
8,8,1,3,1,1,36.52058314156552
7,4,2,1,3,3,33.15246803783996
7,4,5,3,3,2,57.70105168885572
9,9,1,3,2,1,52.943647116533256
8,9,7,1,3,3,98.43741801266428
4,8,4,0,2,2,40.3755538012793
5,9,9,0,1,1,29.97837531688467
7,4,4,2,3,0,27.97934418459446
7,8,7,1,2,1,47.3077456237348
3,5,2,0,2,3,26.740951463438996
5,8,6,0,2,0,23.953231973994654
4,9,9,3,3,0,57.89773519750146
2,6,5,3,1,0,18.96507725056769
7,2,3,3,1,2,34.4329956437136
7,1,8,0,2,3,66.30073143857464
6,1,7,3,2,0,20.540476747144893
8,3,6,2,2,1,31.7797299705331
9,2,6,1,3,2,51.99005778992749
9,1,9,1,3,1,42.54812495281079
5,8,1,2,2,2,43.39049842995584
1,4,4,2,3,3,47.92862720754685
3,9,7,3,2,2,76.50425866577625
5,8,3,1,1,2,30.03287504868623
6,8,4,3,3,0,56.36899475775668
5,3,6,3,3,3,76.41134001573327
9,5,3,0,2,3,34.37478634653603
6,2,8,3,1,2,61.78800894186509
8,1,6,3,2,3,78.52320637238395
3,8,7,1,2,2,69.23129012231392
7,1,4,1,2,1,17.946735423469082
3,9,2,3,2,2,49.4690613313008
8,3,4,1,1,2,27.58195118478749
2,7,8,2,1,2,59.15066161083914
8,2,2,3,3,2,40.38395860982428
1,1,7,0,2,1,24.90235418027782
3,3,5,1,3,3,54.32891996901834
2,1,7,1,2,0,21.889335060937785
8,2,9,1,2,1,40.13593708884844
7,1,5,1,2,0,11.747601955292833
1,2,5,0,1,0,3.5842198701530577
2,8,6,1,1,3,65.58298970007391
1,7,7,0,3,0,33.59205772574821
3,4,3,1,1,3,30.23553084452132
8,7,6,3,2,2,67.74703598682382
7,6,3,2,3,3,58.9038157507644
3,5,6,3,2,1,33.79133394821814
9,7,9,2,2,1,59.8233778635075
7,8,3,3,1,3,52.17252105275343
1,3,1,2,1,3,14.187173836250828
8,5,2,1,2,2,29.517930991178904
2,5,2,2,1,3,26.162597021702567
4,4,3,2,1,2,27.35746318721822
6,7,8,2,3,0,43.799702932782544
6,5,7,0,3,1,38.61372064435128
2,7,7,3,3,1,54.535760102890286
4,3,8,0,1,1,25.2147615098775
8,4,3,0,3,2,33.264314143538265
3,7,6,3,1,3,69.66896636236253
5,5,1,1,2,2,26.919895523757145
